ttid,rank,title,fulltitle,year,image_url,crew,imdb_rating,imdb_rating_count
tt2085059,55,Black Mirror,Black Mirror (2011),2011,"https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Daniel Lapaine, Hannah John-Kamen",8.7,506177
tt0098936,56,Twin Peaks,Twin Peaks (1990),1990,"https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx._V1_UY176_CR3,0,128,176_AL_.jpg","Kyle MacLachlan, Michael Ontkean",8.7,190186
tt3718778,57,Over the Garden Wall,Over the Garden Wall (2014),2014,"https://m.media-amazon.com/images/M/MV5BYjQwZDhhNzctNTZjYy00NjYzLWE3ZjctNGQwZWY2Zjg5NTgwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX128_CR0,1,128,176_AL_.jpg","Elijah Wood, Collin Dean",8.7,50310
tt9432978,58,Kota Factory,Kota Factory (2019),2019,"https://m.media-amazon.com/images/M/MV5BOGVmMGYwZTEtOGFlYS00ODRhLTg3M2MtMzc1OGNhNzU3N2IzXkEyXkFqcGdeQXVyNDY4NjAxNTc@._V1_UX128_CR0,3,128,176_AL_.jpg","Mayur More, Jitendra Kumar",8.7,66350
tt7660850,59,Succession,Succession (2018),2018,"https://m.media-amazon.com/images/M/MV5BZDE0ODVlYjktNjJiMC00ODk4LWIwNTktMWRhZmZiOGFhYmUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY176_CR6,0,128,176_AL_.jpg","Nicholas Braun, Brian Cox",8.7,117940
tt0072500,60,Fawlty Towers,Fawlty Towers (1975),1975,"https://m.media-amazon.com/images/M/MV5BNzg2NWQ5MDQtMWY0MC00MWFiLWIyMDEtYTI2MTMzN2YzOTI0XkEyXkFqcGdeQXVyNTA4NzExMDg@._V1_UX128_CR0,3,128,176_AL_.jpg","John Cleese, Prunella Scales",8.7,90445
tt0472954,61,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia (2004),2004,"https://m.media-amazon.com/images/M/MV5BMzg3ODVjZTYtZTAyNC00MzVjLTk3NmUtMGI4ZjZmNGQ1NmY4XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX128_CR0,3,128,176_AL_.jpg","Charlie Day, Glenn Howerton",8.7,212782
tt3032476,62,Better Call Saul,Better Call Saul (2015),2015,"https://m.media-amazon.com/images/M/MV5BMGE4YzY4NGEtOWYyYS00ZDk2LWExMmMtZDIyODhiMmNlMGE0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Bob Odenkirk, Rhea Seehorn",8.7,381252
tt0096548,63,Blackadder Goes Forth,Blackadder Goes Forth (1989),1989,"https://m.media-amazon.com/images/M/MV5BMTQ0OTc1NTU1NV5BMl5BanBnXkFtZTcwNDk1NDYxMQ@@._V1_UX128_CR0,1,128,176_AL_.jpg","Rowan Atkinson, Tony Robinson",8.7,51529
tt2707408,64,Narcos,Narcos (2015),2015,"https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX128_CR0,3,128,176_AL_.jpg","Pedro Pascal, Wagner Moura",8.7,398803
tt10986410,65,Ted Lasso,Ted Lasso (2020),2020,"https://m.media-amazon.com/images/M/MV5BMDVmODUzNmEtMGMxZC00NWUzLTkxMTAtMDM5OTQzMWE0ZDM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Jason Sudeikis, Brett Goldstein",8.7,167497
tt0353049,66,Chappelle's Show,Chappelle's Show (2003),2003,"https://m.media-amazon.com/images/M/MV5BOWNjYTg5NGMtOWRjNy00ZGNlLTg2MmYtZjQ5NTM0MTQxOGM2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg","Dave Chappelle, Donnell Rawlings",8.7,61256
tt0193676,67,Freaks and Geeks,Freaks and Geeks (1999),1999,"https://m.media-amazon.com/images/M/MV5BZWJhOGFiZWMtYTY5Ni00NGU1LWE5OWItNzA5NThkNWUwYzc4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg","Linda Cardellini, John Francis Daley",8.7,138088
tt8111088,68,The Mandalorian,The Mandalorian (2019),2019,"https://m.media-amazon.com/images/M/MV5BZDhlMzY0ZGItZTcyNS00ZTAxLWIyMmYtZGQ2ODg5OWZiYmJkXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX128_CR0,3,128,176_AL_.jpg","Pedro Pascal, Carl Weathers",8.7,409556
tt0200276,69,The West Wing,The West Wing (1999),1999,"https://m.media-amazon.com/images/M/MV5BNjk3ZWE3ZDctN2Q1YS00NzNhLWFjNmYtZTkwYWQxZmQ3NzM3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX128_CR0,3,128,176_AL_.jpg","Martin Sheen, Rob Lowe",8.7,72027
tt2442560,70,Peaky Blinders,Peaky Blinders (2013),2013,"https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_UX128_CR0,3,128,176_AL_.jpg","Cillian Murphy, Paul Anderson",8.7,457678
tt1910272,71,Steins;Gate,Steins;Gate (2011),2011,"https://m.media-amazon.com/images/M/MV5BMjUxMzE4ZDctODNjMS00MzIwLThjNDktODkwYjc5YWU0MDc0XkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_UX128_CR0,3,128,176_AL_.jpg","Mamoru Miyano, Asami Imai",8.7,56303
tt3398228,72,BoJack Horseman,BoJack Horseman (2014),2014,"https://m.media-amazon.com/images/M/MV5BYWQwMDNkM2MtODU4OS00OTY3LTgwOTItNjE2Yzc0MzRkMDllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Will Arnett, Amy Sedaris",8.7,139282
tt5753856,73,Dark,Dark (2017),2017,"https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_UX128_CR0,3,128,176_AL_.jpg","Louis Hofmann, Karoline Eichhorn",8.7,346447
tt0264235,74,Curb Your Enthusiasm,Curb Your Enthusiasm (2000),2000,"https://m.media-amazon.com/images/M/MV5BMzE3ZDA4OWItOGY2ZC00MzVmLTk0Y2QtNzEzMjc5YWI5ZWFiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Larry David, Cheryl Hines",8.7,121756
tt0121220,75,Dragon Ball Z,Dragon Ball Z (1989),1989,"https://m.media-amazon.com/images/M/MV5BMGMyOThiMGUtYmFmZi00YWM0LWJiM2QtZGMwM2Q2ODE4MzhhXkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_UX128_CR0,3,128,176_AL_.jpg","Jôji Yanami, Kyle Hebert",8.7,76289
tt10233448,76,Vinland Saga,Vinland Saga (2019),2019,"https://m.media-amazon.com/images/M/MV5BMWE4OWE0NmMtYjlmOC00NGE1LWJiNDItNDgxNzVjYzViMGQ3XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX128_CR0,3,128,176_AL_.jpg","Ryan Bartley, Kellen Goff",8.7,28351
tt4508902,77,One Punch Man,One Punch Man (2015),2015,"https://m.media-amazon.com/images/M/MV5BMTNmZDE2NDEtNTg3MS00OTE1LThlZGUtOGZkZTg0NTUyNGVmXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX128_CR0,3,128,176_AL_.jpg","Makoto Furukawa, Kaito Ishikawa",8.7,144203
tt0384766,78,Rome,Rome (2005),2005,"https://m.media-amazon.com/images/M/MV5BYTM4MmU1NWYtNzJjYy00YWFhLThjOGEtZmMxOGI1NzE0NGNiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX128_CR0,3,128,176_AL_.jpg","Kevin McKidd, Ray Stevenson",8.7,165519
tt0214341,79,Dragon Ball Z,Dragon Ball Z (1989),1989,"https://m.media-amazon.com/images/M/MV5BNGM5MTEyZDItZWNhOS00NzNkLTgwZTAtNWIzY2IzZmExOWMxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg","Doc Harris, Christopher Sabat",8.7,123876
tt0074006,80,"I, Claudius","I, Claudius (1976)",1976,"https://m.media-amazon.com/images/M/MV5BZWM1MDY1MjYtYTAzZC00MDJiLTk4MjAtOGQzNDI4YWU1MWQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,3,128,176_AL_.jpg","Derek Jacobi, John Hurt",8.7,16989
tt5687612,81,Fleabag,Fleabag (2016),2016,"https://m.media-amazon.com/images/M/MV5BMjA4MzU5NzQxNV5BMl5BanBnXkFtZTgwOTg3MDA5NzM@._V1_UX128_CR0,3,128,176_AL_.jpg","Phoebe Waller-Bridge, Sian Clifford",8.7,134548
tt0118421,82,Oz,Oz (1997),1997,"https://m.media-amazon.com/images/M/MV5BYjY3N2M2YjgtZTFjZS00ODA1LWJjMDgtNDgxZDllZWFiMmYyXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX128_CR0,3,128,176_AL_.jpg","Ernie Hudson, J.K. Simmons",8.7,96075
